,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,number_of_bids,tender_count
1433,2022-2023,Department of Handloom Textile and Sericulture,Technical Bid Opening,Goods,0 bids,1
1434,2022-2023,Department of Handloom Textile and Sericulture,Technical Evaluation,Goods,0 bids,1
1435,2022-2023,Department of Handloom Textile and Sericulture,Technical Evaluation,Works,0 bids,2
1436,2022-2023,Department of Handloom Textile and Sericulture,To Be Opened,Goods,0 bids,3
1437,2022-2023,Department of Handloom Textile and Sericulture,To Be Opened,Works,0 bids,14
1438,2022-2023,Department of Handloom Textile and Sericulture,To Be Opened,Works,4 and more bids,1
1439,2022-2023,Department of Higher Education,AOC,Works,0 bids,2
1440,2022-2023,Department of Housing and Urban Affairs,AOC,Goods,0 bids,1
1441,2022-2023,Department of Housing and Urban Affairs,AOC,Goods,4 and more bids,1
1442,2022-2023,Department of Housing and Urban Affairs,AOC,Works,0 bids,49
1443,2022-2023,Department of Housing and Urban Affairs,AOC,Works,2 bids,1
1444,2022-2023,Department of Housing and Urban Affairs,AOC,Works,3 bids,1
1445,2022-2023,Department of Housing and Urban Affairs,AOC,Works,4 and more bids,13
1446,2022-2023,Department of Housing and Urban Affairs,Cancelled,Works,0 bids,15
1447,2022-2023,Department of Housing and Urban Affairs,Cancelled,Works,4 and more bids,3
1448,2022-2023,Department of Housing and Urban Affairs,Financial Evaluation,Works,0 bids,2
1449,2022-2023,Department of Housing and Urban Affairs,Retender,Works,0 bids,5
1450,2022-2023,Department of Housing and Urban Affairs,To Be Opened,Works,0 bids,2
1451,2022-2023,Department of Labour and Welfare,Cancelled,Services,0 bids,1
1452,2022-2023,Department of Science and Technology,AOC,Services,0 bids,2
1453,2022-2023,Department of Science and Technology,Cancelled,Services,4 and more bids,1
1454,2022-2023,Department of Science and Technology,Cancelled,Works,0 bids,1
1455,2022-2023,Department of Science and Technology,Financial Evaluation,Services,0 bids,1
1456,2022-2023,Department of Science and Technology,Financial Evaluation,Services,2 bids,1
1457,2022-2023,Department of Tourism,AOC,Services,0 bids,6
1458,2022-2023,Department of Tourism,AOC,Services,4 and more bids,1
1459,2022-2023,Department of Tourism,AOC,Works,0 bids,10
1460,2022-2023,Department of Tourism,Cancelled,Services,0 bids,4
1461,2022-2023,Department of Tourism,Cancelled,Services,4 and more bids,1
1462,2022-2023,Department of Tourism,Cancelled,Works,0 bids,1
1463,2022-2023,Department of Tourism,Financial Evaluation,Services,0 bids,11
1464,2022-2023,Department of Tourism,Technical Evaluation,Services,0 bids,1
1465,2022-2023,Department of Tourism,Technical Evaluation,Works,0 bids,1
1466,2022-2023,Department of Tourism,To Be Opened,Services,0 bids,10
1467,2022-2023,Department of Tourism,To Be Opened,Services,4 and more bids,2
1468,2022-2023,Department of Water Resources,AOC,Goods,0 bids,15
1469,2022-2023,Department of Water Resources,AOC,Goods,3 bids,1
1470,2022-2023,Department of Water Resources,AOC,Goods,4 and more bids,3
1471,2022-2023,Department of Water Resources,AOC,Services,0 bids,1
1472,2022-2023,Department of Water Resources,AOC,Works,0 bids,112
1473,2022-2023,Department of Water Resources,AOC,Works,2 bids,1
1474,2022-2023,Department of Water Resources,AOC,Works,3 bids,4
1475,2022-2023,Department of Water Resources,AOC,Works,4 and more bids,22
1476,2022-2023,Department of Water Resources,Cancelled,Works,0 bids,8
1477,2022-2023,Department of Water Resources,Cancelled,Works,2 bids,1
1478,2022-2023,Department of Water Resources,Cancelled,Works,3 bids,1
1479,2022-2023,Department of Water Resources,Cancelled,Works,4 and more bids,1
1480,2022-2023,Department of Water Resources,Financial Bid Opening,Works,0 bids,14
1481,2022-2023,Department of Water Resources,Financial Bid Opening,Works,4 and more bids,3
1482,2022-2023,Department of Water Resources,Financial Evaluation,Services,0 bids,1
1483,2022-2023,Department of Water Resources,Financial Evaluation,Services,4 and more bids,1
1484,2022-2023,Department of Water Resources,Financial Evaluation,Works,0 bids,6
1485,2022-2023,Department of Water Resources,Financial Evaluation,Works,4 and more bids,1
1486,2022-2023,Department of Water Resources,Retender,Goods,0 bids,3
1487,2022-2023,Department of Water Resources,Retender,Works,0 bids,37
1488,2022-2023,Department of Water Resources,Retender,Works,3 bids,2
1489,2022-2023,Department of Water Resources,Retender,Works,4 and more bids,10
1490,2022-2023,Department of Water Resources,To Be Opened,Works,0 bids,1
1491,2022-2023,Department of Water Resources-Externally Aided Project,Financial Evaluation,Services,0 bids,2
1492,2022-2023,Department of Water Resources-Externally Aided Project,Financial Evaluation,Services,2 bids,1
1493,2022-2023,Dibrugarh University,AOC,Goods,0 bids,1
1494,2022-2023,Dibrugarh University,AOC,Works,0 bids,3
1495,2022-2023,Dibrugarh University,Cancelled,Goods,0 bids,3
1496,2022-2023,Dibrugarh University,Cancelled,Goods,4 and more bids,1
1497,2022-2023,Dibrugarh University,Cancelled,Works,0 bids,4
1498,2022-2023,Dibrugarh University,Financial Evaluation,Services,2 bids,1
1499,2022-2023,Dibrugarh University,Retender,Works,0 bids,1
1500,2022-2023,Dibrugarh University,Technical Evaluation,Goods,0 bids,1
1501,2022-2023,Dibrugarh University,Technical Evaluation,Goods,2 bids,1
1502,2022-2023,Director- Fire and Emergency Services-Assam,AOC,Works,0 bids,6
1503,2022-2023,Director- Fire and Emergency Services-Assam,AOC,Works,4 and more bids,1
1504,2022-2023,Directorate of Agriculture and Assam Seed Corporation,AOC,Goods,0 bids,3
1505,2022-2023,Directorate of Agriculture and Assam Seed Corporation,AOC,Services,0 bids,2
1506,2022-2023,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,0 bids,100
1507,2022-2023,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,3 bids,4
1508,2022-2023,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,4 and more bids,7
1509,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Goods,0 bids,8
1510,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Goods,4 and more bids,4
1511,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Services,0 bids,3
1512,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Works,0 bids,33
1513,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Works,3 bids,1
1514,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Works,4 and more bids,7
1515,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Bid Opening,Goods,0 bids,2
1516,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Bid Opening,Goods,4 and more bids,1
1517,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Bid Opening,Works,0 bids,3
1518,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Goods,0 bids,2
1519,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Goods,4 and more bids,1
1520,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Services,0 bids,1
1521,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Services,3 bids,1
1522,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Works,0 bids,11
1523,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Technical Bid Opening,Goods,0 bids,1
1524,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Technical Bid Opening,Works,0 bids,2
1525,2022-2023,Directorate of Agriculture and Assam Seed Corporation,Technical Evaluation,Works,0 bids,7
1526,2022-2023,Directorate of Agriculture and Assam Seed Corporation,To Be Opened,Services,0 bids,1
1527,2022-2023,Directorate of Forensic Science Assam,AOC,Goods,0 bids,3
1528,2022-2023,Directorate of Forensic Science Assam,Cancelled,Goods,0 bids,2
1529,2022-2023,Directorate of Forensic Science Assam,Financial Evaluation,Goods,0 bids,1
1530,2022-2023,Directorate of Forensic Science Assam,Technical Bid Opening,Goods,0 bids,1
1531,2022-2023,Directorate of Forensic Science Assam,To Be Opened,Goods,4 and more bids,1
1532,2022-2023,Directorate of Horticulture Assam,Cancelled,Goods,0 bids,3
1533,2022-2023,Directorate of Horticulture Assam,Cancelled,Services,0 bids,1
1534,2022-2023,Directorate of Horticulture Assam,Cancelled,Works,0 bids,1
1535,2022-2023,Directorate of Horticulture Assam,Financial Evaluation,Goods,0 bids,1
1536,2022-2023,Directorate of Horticulture Assam,Financial Evaluation,Services,0 bids,1
1537,2022-2023,Directorate of Horticulture Assam,Technical Evaluation,Goods,0 bids,1
1538,2022-2023,Directorate of Land Records and Survey etc. Assam,AOC,Goods,0 bids,1
1539,2022-2023,Directorate of Land Records and Survey etc. Assam,Cancelled,Services,4 and more bids,1
1540,2022-2023,Directorate of Land Records and Survey etc. Assam,Financial Evaluation,Services,0 bids,1
1541,2022-2023,Directorate of Sports and Youth Welfare - Assam,AOC,Goods,0 bids,3
1542,2022-2023,Directorate of Sports and Youth Welfare - Assam,AOC,Goods,3 bids,1
1543,2022-2023,Directorate of Sports and Youth Welfare - Assam,AOC,Goods,4 and more bids,1
1544,2022-2023,Directorate of Sports and Youth Welfare - Assam,AOC,Works,0 bids,2
1545,2022-2023,Directorate of Sports and Youth Welfare - Assam,Cancelled,Services,0 bids,3
1546,2022-2023,Directorate of Sports and Youth Welfare - Assam,Cancelled,Services,3 bids,1
1547,2022-2023,Directorate of Sports and Youth Welfare - Assam,Financial Bid Opening,Goods,4 and more bids,1
1548,2022-2023,Directorate of Sports and Youth Welfare - Assam,Financial Bid Opening,Services,0 bids,5
1549,2022-2023,Directorate of Sports and Youth Welfare - Assam,Technical Bid Opening,Services,0 bids,1
1550,2022-2023,Directorate of Sports and Youth Welfare - Assam,Technical Evaluation,Services,0 bids,1
1551,2022-2023,Directorate of Sports and Youth Welfare - Assam,Technical Evaluation,Services,4 and more bids,1
1552,2022-2023,Directorate of Sports and Youth Welfare - Assam,To Be Opened,Services,0 bids,3
1553,2022-2023,Elementary Education Department,AOC,Services,0 bids,1
1554,2022-2023,Elementary Education Department,Cancelled,Goods,0 bids,5
1555,2022-2023,Elementary Education Department,Cancelled,Goods,4 and more bids,2
1556,2022-2023,Elementary Education Department,Cancelled,Services,0 bids,6
1557,2022-2023,Elementary Education Department,Cancelled,Services,4 and more bids,1
1558,2022-2023,Elementary Education Department,Financial Evaluation,Goods,0 bids,1
1559,2022-2023,Elementary Education Department,Financial Evaluation,Services,0 bids,1
1560,2022-2023,Elementary Education Department,Technical Bid Opening,Goods,0 bids,1
1561,2022-2023,Finance Department,Financial Evaluation,Services,0 bids,1
1562,2022-2023,Finance Department - World Bank Tenders,AOC,Goods,0 bids,6
1563,2022-2023,Finance Department - World Bank Tenders,AOC,Goods,4 and more bids,2
1564,2022-2023,Finance Department - World Bank Tenders,AOC,Services,0 bids,3
1565,2022-2023,Finance Department - World Bank Tenders,Cancelled,Goods,0 bids,5
1566,2022-2023,Finance Department - World Bank Tenders,Cancelled,Goods,3 bids,2
1567,2022-2023,Finance Department - World Bank Tenders,Cancelled,Services,0 bids,1
1568,2022-2023,Finance Department - World Bank Tenders,Financial Bid Opening,Goods,0 bids,2
1569,2022-2023,Finance Department - World Bank Tenders,Financial Bid Opening,Services,0 bids,1
1570,2022-2023,Finance Department - World Bank Tenders,Financial Evaluation,Goods,0 bids,1
1571,2022-2023,Finance Department - World Bank Tenders,Technical Evaluation,Goods,0 bids,1
1572,2022-2023,Food Civil Supplies and Consumer Affairs Department,AOC,Goods,0 bids,5
1573,2022-2023,Food Civil Supplies and Consumer Affairs Department,AOC,Goods,4 and more bids,1
1574,2022-2023,Food Civil Supplies and Consumer Affairs Department,AOC,Services,0 bids,97
1575,2022-2023,Food Civil Supplies and Consumer Affairs Department,AOC,Services,3 bids,2
1576,2022-2023,Food Civil Supplies and Consumer Affairs Department,AOC,Services,4 and more bids,21
1577,2022-2023,Food Civil Supplies and Consumer Affairs Department,AOC,Works,0 bids,1
1578,2022-2023,Food Civil Supplies and Consumer Affairs Department,Cancelled,Goods,0 bids,1
1579,2022-2023,Food Civil Supplies and Consumer Affairs Department,Financial Bid Opening,Goods,0 bids,1
1580,2022-2023,Food Civil Supplies and Consumer Affairs Department,Technical Evaluation,Works,0 bids,1
1581,2022-2023,Gauhati High Court - Guwahati,AOC,Goods,0 bids,1
1582,2022-2023,Gauhati High Court - Guwahati,AOC,Goods,3 bids,1
1583,2022-2023,Gauhati High Court - Guwahati,AOC,Goods,4 and more bids,1
1584,2022-2023,Gauhati University,AOC,Works,0 bids,6
1585,2022-2023,Gauhati University,AOC,Works,4 and more bids,2
1586,2022-2023,Gauhati University,Cancelled,Works,0 bids,2
1587,2022-2023,Gauhati University,Financial Evaluation,Works,0 bids,1
1588,2022-2023,Gauhati University,Retender,Works,0 bids,2
1589,2022-2023,General Administration Department,AOC,Goods,0 bids,1
1590,2022-2023,General Administration Department,AOC,Goods,4 and more bids,1
1591,2022-2023,General Administration Department,AOC,Works,0 bids,14
1592,2022-2023,General Administration Department,AOC,Works,3 bids,1
1593,2022-2023,General Administration Department,AOC,Works,4 and more bids,4
1594,2022-2023,General Administration Department,Cancelled,Goods,0 bids,1
1595,2022-2023,General Administration Department,Cancelled,Goods,4 and more bids,1
1596,2022-2023,General Administration Department,Cancelled,Works,0 bids,7
1597,2022-2023,General Administration Department,Cancelled,Works,3 bids,1
1598,2022-2023,General Administration Department,Cancelled,Works,4 and more bids,1
1599,2022-2023,General Administration Department,Financial Bid Opening,Works,0 bids,4
1600,2022-2023,General Administration Department,Financial Bid Opening,Works,4 and more bids,2
1601,2022-2023,General Administration Department,Financial Evaluation,Works,0 bids,1
1602,2022-2023,General Administration Department,Financial Evaluation,Works,4 and more bids,1
1603,2022-2023,General Administration Department,Technical Evaluation,Goods,0 bids,1
1604,2022-2023,General Administration Department,Technical Evaluation,Goods,4 and more bids,1
1605,2022-2023,General Administration Department,To Be Opened,Works,0 bids,2
1606,2022-2023,General Administration Department,To Be Opened,Works,4 and more bids,2
1607,2022-2023,Guwahati Metropolitan Development Authority,AOC,Goods,0 bids,2
1608,2022-2023,Guwahati Metropolitan Development Authority,AOC,Services,0 bids,4
1609,2022-2023,Guwahati Metropolitan Development Authority,AOC,Works,0 bids,16
1610,2022-2023,Guwahati Metropolitan Development Authority,AOC,Works,2 bids,1
1611,2022-2023,Guwahati Metropolitan Development Authority,AOC,Works,4 and more bids,4
1612,2022-2023,Guwahati Metropolitan Development Authority,Cancelled,Services,0 bids,3
1613,2022-2023,Guwahati Metropolitan Development Authority,Cancelled,Services,4 and more bids,1
1614,2022-2023,Guwahati Metropolitan Development Authority,Cancelled,Works,0 bids,7
1615,2022-2023,Guwahati Metropolitan Development Authority,Cancelled,Works,4 and more bids,1
1616,2022-2023,Guwahati Metropolitan Development Authority,Financial Evaluation,Services,0 bids,2
1617,2022-2023,Guwahati Metropolitan Development Authority,Financial Evaluation,Works,0 bids,2
1618,2022-2023,Guwahati Metropolitan Development Authority,Technical Evaluation,Services,0 bids,1
1619,2022-2023,Guwahati Metropolitan Development Authority,Technical Evaluation,Works,0 bids,1
1620,2022-2023,Guwahati Metropolitan Development Authority,To Be Opened,Services,0 bids,2
1621,2022-2023,Guwahati Metropolitan Development Authority,To Be Opened,Services,4 and more bids,1
1622,2022-2023,Guwahati Metropolitan Development Authority,To Be Opened,Works,0 bids,2
1623,2022-2023,Guwahati Metropolitan Development Authority,To Be Opened,Works,2 bids,1
1624,2022-2023,Guwahati Metropolitan Development Authority,To Be Opened,Works,3 bids,1
1625,2022-2023,Guwahati Metropolitan Development Authority,To Be Opened,Works,4 and more bids,1
1626,2022-2023,Guwahati Municipal Corporation,AOC,Services,0 bids,3
1627,2022-2023,Guwahati Municipal Corporation,AOC,Services,4 and more bids,1
1628,2022-2023,Guwahati Municipal Corporation,AOC,Works,0 bids,90
1629,2022-2023,Guwahati Municipal Corporation,AOC,Works,3 bids,4
1630,2022-2023,Guwahati Municipal Corporation,AOC,Works,4 and more bids,23
1631,2022-2023,Guwahati Municipal Corporation,Cancelled,Goods,4 and more bids,1
1632,2022-2023,Guwahati Municipal Corporation,Cancelled,Services,0 bids,1
1633,2022-2023,Guwahati Municipal Corporation,Cancelled,Works,0 bids,178
1634,2022-2023,Guwahati Municipal Corporation,Cancelled,Works,2 bids,4
1635,2022-2023,Guwahati Municipal Corporation,Cancelled,Works,3 bids,8
1636,2022-2023,Guwahati Municipal Corporation,Cancelled,Works,4 and more bids,49
1637,2022-2023,Guwahati Municipal Corporation,Financial Bid Opening,Works,0 bids,1
1638,2022-2023,Guwahati Municipal Corporation,Financial Bid Opening,Works,4 and more bids,2
1639,2022-2023,Guwahati Municipal Corporation,Financial Evaluation,Works,0 bids,2
1640,2022-2023,Guwahati Municipal Corporation,Financial Evaluation,Works,4 and more bids,1
1641,2022-2023,Guwahati Municipal Corporation,Technical Bid Opening,Works,0 bids,3
1642,2022-2023,Guwahati Municipal Corporation,Technical Evaluation,Works,0 bids,6
1643,2022-2023,Guwahati Municipal Corporation,Technical Evaluation,Works,4 and more bids,4
1644,2022-2023,Guwahati Municipal Corporation,To Be Opened,Works,0 bids,9
1645,2022-2023,Guwahati Smart City Ltd.,AOC,Services,0 bids,1
1646,2022-2023,Health and Family Welfare Department,AOC,Goods,0 bids,33
1647,2022-2023,Health and Family Welfare Department,AOC,Goods,3 bids,1
1648,2022-2023,Health and Family Welfare Department,AOC,Goods,4 and more bids,9
1649,2022-2023,Health and Family Welfare Department,AOC,Services,0 bids,6
1650,2022-2023,Health and Family Welfare Department,AOC,Services,4 and more bids,1
1651,2022-2023,Health and Family Welfare Department,AOC,Works,2 bids,1
1652,2022-2023,Health and Family Welfare Department,Cancelled,Goods,0 bids,22
1653,2022-2023,Health and Family Welfare Department,Cancelled,Goods,4 and more bids,6
1654,2022-2023,Health and Family Welfare Department,Cancelled,Services,0 bids,8
1655,2022-2023,Health and Family Welfare Department,Cancelled,Services,4 and more bids,3
1656,2022-2023,Health and Family Welfare Department,Financial Bid Opening,Goods,0 bids,8
1657,2022-2023,Health and Family Welfare Department,Financial Bid Opening,Goods,4 and more bids,4
1658,2022-2023,Health and Family Welfare Department,Financial Bid Opening,Services,0 bids,1
1659,2022-2023,Health and Family Welfare Department,Financial Bid Opening,Services,4 and more bids,1
1660,2022-2023,Health and Family Welfare Department,Financial Evaluation,Goods,0 bids,8
1661,2022-2023,Health and Family Welfare Department,Financial Evaluation,Goods,4 and more bids,2
1662,2022-2023,Health and Family Welfare Department,Financial Evaluation,Services,0 bids,1
1663,2022-2023,Health and Family Welfare Department,Financial Evaluation,Services,4 and more bids,2
1664,2022-2023,Health and Family Welfare Department,Retender,Goods,0 bids,6
1665,2022-2023,Health and Family Welfare Department,Retender,Services,0 bids,2
1666,2022-2023,Health and Family Welfare Department,Retender,Services,4 and more bids,1
1667,2022-2023,Health and Family Welfare Department,Retender,Works,0 bids,1
1668,2022-2023,Health and Family Welfare Department,Technical Bid Opening,Goods,0 bids,2
1669,2022-2023,Health and Family Welfare Department,Technical Bid Opening,Services,4 and more bids,1
1670,2022-2023,Health and Family Welfare Department,Technical Evaluation,Goods,0 bids,1
1671,2022-2023,Health and Family Welfare Department,To Be Opened,Goods,0 bids,3
1672,2022-2023,Health and Family Welfare Department,To Be Opened,Services,3 bids,1
1673,2022-2023,Health and Family Welfare Department,To Be Opened,Services,4 and more bids,1
1674,2022-2023,Health and Family Welfare Department,To Be Opened,Works,0 bids,1
1675,2022-2023,Home B,AOC,Goods,0 bids,59
1676,2022-2023,Home B,AOC,Goods,2 bids,2
1677,2022-2023,Home B,AOC,Goods,3 bids,1
1678,2022-2023,Home B,AOC,Goods,4 and more bids,13
1679,2022-2023,Home B,Cancelled,Goods,0 bids,32
1680,2022-2023,Home B,Cancelled,Goods,2 bids,1
1681,2022-2023,Home B,Cancelled,Goods,3 bids,1
1682,2022-2023,Home B,Cancelled,Goods,4 and more bids,4
1683,2022-2023,Home B,Financial Bid Opening,Goods,0 bids,3
1684,2022-2023,Home B,Financial Evaluation,Goods,0 bids,14
1685,2022-2023,Home B,Retender,Goods,0 bids,1
1686,2022-2023,Home B,Technical Evaluation,Goods,0 bids,3
1687,2022-2023,Home B,To Be Opened,Goods,0 bids,18
1688,2022-2023,Home B,To Be Opened,Goods,3 bids,1
1689,2022-2023,Home B,To Be Opened,Goods,4 and more bids,5
1690,2022-2023,Industries and Commerce Department,AOC,Goods,0 bids,30
1691,2022-2023,Industries and Commerce Department,AOC,Goods,3 bids,3
1692,2022-2023,Industries and Commerce Department,AOC,Goods,4 and more bids,5
1693,2022-2023,Industries and Commerce Department,AOC,Services,0 bids,21
1694,2022-2023,Industries and Commerce Department,AOC,Services,4 and more bids,2
1695,2022-2023,Industries and Commerce Department,AOC,Works,0 bids,47
1696,2022-2023,Industries and Commerce Department,AOC,Works,2 bids,2
1697,2022-2023,Industries and Commerce Department,AOC,Works,3 bids,1
1698,2022-2023,Industries and Commerce Department,AOC,Works,4 and more bids,7
1699,2022-2023,Industries and Commerce Department,Cancelled,Goods,0 bids,16
1700,2022-2023,Industries and Commerce Department,Cancelled,Goods,4 and more bids,2
1701,2022-2023,Industries and Commerce Department,Cancelled,Services,0 bids,15
1702,2022-2023,Industries and Commerce Department,Cancelled,Services,4 and more bids,1
1703,2022-2023,Industries and Commerce Department,Cancelled,Works,0 bids,14
1704,2022-2023,Industries and Commerce Department,Cancelled,Works,2 bids,1
1705,2022-2023,Industries and Commerce Department,Cancelled,Works,4 and more bids,5
1706,2022-2023,Industries and Commerce Department,Financial Bid Opening,Goods,0 bids,1
1707,2022-2023,Industries and Commerce Department,Financial Bid Opening,Services,0 bids,3
1708,2022-2023,Industries and Commerce Department,Financial Bid Opening,Services,4 and more bids,1
1709,2022-2023,Industries and Commerce Department,Financial Bid Opening,Works,0 bids,6
1710,2022-2023,Industries and Commerce Department,Financial Bid Opening,Works,3 bids,1
1711,2022-2023,Industries and Commerce Department,Financial Bid Opening,Works,4 and more bids,3
1712,2022-2023,Industries and Commerce Department,Financial Evaluation,Works,0 bids,2
1713,2022-2023,Industries and Commerce Department,Retender,Goods,0 bids,1
1714,2022-2023,Industries and Commerce Department,Retender,Services,4 and more bids,1
1715,2022-2023,Industries and Commerce Department,Retender,Works,0 bids,5
1716,2022-2023,Industries and Commerce Department,Technical Bid Opening,Services,0 bids,4
1717,2022-2023,Industries and Commerce Department,Technical Bid Opening,Services,4 and more bids,1
1718,2022-2023,Industries and Commerce Department,Technical Bid Opening,Works,0 bids,12
1719,2022-2023,Industries and Commerce Department,Technical Bid Opening,Works,4 and more bids,1
1720,2022-2023,Industries and Commerce Department,Technical Evaluation,Goods,0 bids,11
1721,2022-2023,Industries and Commerce Department,Technical Evaluation,Goods,4 and more bids,2
1722,2022-2023,Industries and Commerce Department,Technical Evaluation,Services,0 bids,4
1723,2022-2023,Industries and Commerce Department,Technical Evaluation,Works,0 bids,4
1724,2022-2023,Industries and Commerce Department,Technical Evaluation,Works,4 and more bids,1
1725,2022-2023,Industries and Commerce Department,To Be Opened,Goods,0 bids,4
1726,2022-2023,Industries and Commerce Department,To Be Opened,Services,0 bids,4
1727,2022-2023,Industries and Commerce Department,To Be Opened,Services,4 and more bids,2
1728,2022-2023,Industries and Commerce Department,To Be Opened,Works,0 bids,1
1729,2022-2023,Information - Public Relations - Printing and Stationery Department,AOC,Works,0 bids,1
1730,2022-2023,Information - Public Relations - Printing and Stationery Department,Cancelled,Goods,0 bids,1
1731,2022-2023,Information - Public Relations - Printing and Stationery Department,Cancelled,Goods,4 and more bids,1
1732,2022-2023,Information - Public Relations - Printing and Stationery Department,Cancelled,Services,0 bids,3
1733,2022-2023,Information - Public Relations - Printing and Stationery Department,Cancelled,Services,4 and more bids,2
1734,2022-2023,Information - Public Relations - Printing and Stationery Department,Retender,Services,0 bids,1
1735,2022-2023,Information - Public Relations - Printing and Stationery Department,Retender,Services,4 and more bids,1
1736,2022-2023,Information - Public Relations - Printing and Stationery Department,Technical Evaluation,Works,0 bids,2
1737,2022-2023,Information - Public Relations - Printing and Stationery Department,Technical Evaluation,Works,4 and more bids,1
1738,2022-2023,Information and Public Relations Department,AOC,Goods,0 bids,1
1739,2022-2023,Information and Public Relations Department,AOC,Services,0 bids,1
1740,2022-2023,Information and Public Relations Department,Cancelled,Goods,3 bids,1
1741,2022-2023,Information and Public Relations Department,Cancelled,Services,0 bids,2
1742,2022-2023,Information and Public Relations Department,Financial Evaluation,Goods,0 bids,1
1743,2022-2023,Information and Public Relations Department,Financial Evaluation,Services,0 bids,1
1744,2022-2023,Inland Water Transport,AOC,Services,0 bids,4
1745,2022-2023,Inland Water Transport,Cancelled,Services,0 bids,1
1746,2022-2023,Inland Water Transport,Financial Bid Opening,Services,0 bids,1
1747,2022-2023,Inland Water Transport,Technical Evaluation,Services,0 bids,15
1748,2022-2023,Inland Water Transport,Technical Evaluation,Services,3 bids,1
1749,2022-2023,Inland Water Transport,Technical Evaluation,Services,4 and more bids,2
1750,2022-2023,Inland Water Transport,To Be Opened,Services,0 bids,20
1751,2022-2023,Inland Water Transport,To Be Opened,Services,3 bids,1
1752,2022-2023,Inland Water Transport,To Be Opened,Services,4 and more bids,9
1753,2022-2023,Irrigation Department,AOC,Services,4 and more bids,1
1754,2022-2023,Irrigation Department,AOC,Works,0 bids,89
1755,2022-2023,Irrigation Department,AOC,Works,3 bids,2
1756,2022-2023,Irrigation Department,AOC,Works,4 and more bids,14
1757,2022-2023,Irrigation Department,Cancelled,Services,4 and more bids,1
1758,2022-2023,Irrigation Department,Cancelled,Works,0 bids,16
1759,2022-2023,Irrigation Department,Cancelled,Works,3 bids,4
1760,2022-2023,Irrigation Department,Cancelled,Works,4 and more bids,7
1761,2022-2023,Irrigation Department,Retender,Works,0 bids,2
1762,2022-2023,Karbi Anglong Autonomous Council,AOC,Works,0 bids,3
1763,2022-2023,Karbi Anglong Autonomous Council,Retender,Works,0 bids,2
1764,2022-2023,Karbi Anglong Autonomous Council,Technical Evaluation,Works,0 bids,1
1765,2022-2023,Medical Education and Research Department- Externally Aided Project,AOC,Services,0 bids,2
1766,2022-2023,National Health Mission,AOC,Goods,0 bids,2
1767,2022-2023,National Health Mission,AOC,Goods,4 and more bids,1
1768,2022-2023,National Health Mission,AOC,Services,0 bids,2
1769,2022-2023,National Health Mission,AOC,Services,4 and more bids,2
1770,2022-2023,National Health Mission,AOC,Works,0 bids,375
1771,2022-2023,National Health Mission,AOC,Works,2 bids,5
1772,2022-2023,National Health Mission,AOC,Works,3 bids,15
1773,2022-2023,National Health Mission,AOC,Works,4 and more bids,74
1774,2022-2023,National Health Mission,Cancelled,Goods,0 bids,2
1775,2022-2023,National Health Mission,Cancelled,Services,0 bids,2
1776,2022-2023,National Health Mission,Cancelled,Services,4 and more bids,1
1777,2022-2023,National Health Mission,Cancelled,Works,0 bids,337
1778,2022-2023,National Health Mission,Cancelled,Works,2 bids,1
1779,2022-2023,National Health Mission,Cancelled,Works,3 bids,11
1780,2022-2023,National Health Mission,Cancelled,Works,4 and more bids,59
1781,2022-2023,National Health Mission,Financial Bid Opening,Services,0 bids,1
1782,2022-2023,National Health Mission,Financial Bid Opening,Works,0 bids,54
1783,2022-2023,National Health Mission,Financial Bid Opening,Works,3 bids,3
1784,2022-2023,National Health Mission,Financial Bid Opening,Works,4 and more bids,21
1785,2022-2023,National Health Mission,Financial Evaluation,Works,0 bids,1
1786,2022-2023,National Health Mission,Retender,Goods,0 bids,1
1787,2022-2023,National Health Mission,Retender,Works,0 bids,4
1788,2022-2023,National Health Mission,Retender,Works,4 and more bids,2
1789,2022-2023,National Health Mission,Technical Bid Opening,Goods,0 bids,10
1790,2022-2023,National Health Mission,Technical Bid Opening,Goods,4 and more bids,4
1791,2022-2023,National Health Mission,Technical Bid Opening,Works,0 bids,4
